datetime, value
2016020312,0
2016020313,0
2016020314,0
2016020315,0
2016020316,0
2016020317,0
2016020318,0
2016020319,0
2016020320,496
2016020321,884
2016020322,990
2016020323,1024
2016020400,1023
2016020401,1025
2016020402,1027
2016020403,1030
2016020404,-999
2016020405,-999
2016020406,940
2016020407,764
2016020408,390
2016020409,0
2016020410,0
2016020411,0
2016020412,0
2016020413,0
2016020414,0
2016020415,0
2016020416,0
2016020417,0
2016020418,0
2016020419,0
2016020420,429
2016020421,838
2016020422,965
2016020423,1011
2016020500,1013
2016020501,1015
2016020502,1019
2016020503,1024
2016020504,-999
2016020505,-999
2016020506,928
2016020507,745
2016020508,364
2016020509,0
2016020510,0
2016020511,0
2016020512,0
2016020513,0
2016020514,0
2016020515,0
2016020516,0
2016020517,0
2016020518,0
2016020519,0
2016020520,419
2016020521,830
2016020522,961
2016020523,1009
2016020600,1011
2016020601,1013
2016020602,1012
2016020603,1018
2016020604,1020
2016020605,998
2016020606,906
2016020607,710
2016020608,329
2016020609,0
2016020610,0
2016020611,0
2016020612,0
2016020613,0
2016020614,0
2016020615,0
2016020616,0
2016020617,0
2016020618,0
2016020619,0
2016020620,365
2016020621,782
2016020622,927
2016020623,978
2016020700,979
2016020701,990
2016020702,999
2016020703,1010
2016020704,991
2016020705,972
2016020706,898
2016020707,704
2016020708,310
2016020709,0
2016020710,0
2016020711,0
2016020712,0
2016020713,0
2016020714,0
2016020715,0
2016020716,0
2016020717,0
2016020718,0
2016020719,0
2016020720,373
2016020721,795
2016020722,939
2016020723,994
2016020800,1001
2016020801,1002
2016020802,1002
2016020803,1010
2016020804,1014
2016020805,992
2016020806,899
2016020807,694
2016020808,290
2016020809,0
2016020810,0
2016020811,0
2016020812,0
2016020813,0
2016020814,0
2016020815,0
2016020816,0
2016020817,0
2016020818,0
2016020819,0
2016020820,510
2016020821,818
2016020822,955
2016020823,1004
2016020900,1010
2016020901,998
2016020902,1011
2016020903,1054
2016020904,-999
2016020905,1049
2016020906,980
2016020907,803
2016020908,333
2016020909,0
2016020910,0
2016020911,0
2016020912,0
2016020913,0
2016020914,0
2016020915,0
2016020916,0
2016020917,0
2016020918,0
2016020919,0
2016020920,544
2016020921,848
2016020922,974
2016020923,1020
2016021000,1008
2016021001,950
2016021002,944
2016021003,991
2016021004,980
2016021005,966
2016021006,847
2016021007,670
2016021008,241
2016021009,0
2016021010,0
2016021011,0
2016021012,0
