Time,Flow_rate,Temp_input,Temp_output,Delta_temp,Amb_temp,Power_output,GHI,DNI,pred_GHI,pred_DNI,pred_Amb_temp
03-05-2017 11:30,8.335666666666667,87.66833333333334,92.22249999999998,4.5541666666666645,13.316666666666668,159.06056072333328,610.0,899.5,610.0,899.5,13.316666666666668
03-05-2017 12:00,8.348333333333334,95.01183333333334,100.04566666666669,5.0338333333333365,13.716666666666669,176.08530308000013,615.0,905.0,615.0,905.0,13.716666666666669
03-05-2017 12:30,8.345333333333334,103.18650000000001,110.41583333333331,7.229333333333327,14.15,252.79214635499977,588.5,897.0,588.5,897.0,14.15
03-05-2017 13:00,8.330833333333333,111.97650000000003,118.0225,6.045999999999995,14.366666666666665,211.0571876616665,562.0,889.0,562.0,889.0,14.366666666666665
03-05-2017 13:30,8.315166666666668,113.29200000000002,119.09400000000001,5.802000000000002,14.616666666666667,202.14792571666678,506.0,860.5,506.0,860.5,14.616666666666667
03-05-2017 14:00,8.328166666666666,113.58733333333333,119.33,5.7426666666666675,14.866666666666665,200.39047351333338,450.0,832.0,450.0,832.0,14.866666666666665
03-05-2017 14:30,8.313666666666668,112.28366666666666,117.61533333333334,5.331666666666673,15.200000000000001,185.7209790400003,366.0,742.5,366.0,742.5,15.200000000000001
03-05-2017 15:00,8.329,110.43983333333334,115.20983333333334,4.769999999999993,15.200000000000001,166.4660309699998,282.0,653.0,282.0,653.0,15.200000000000001
03-05-2017 15:30,8.329666666666666,107.38716666666669,111.17366666666668,3.7864999999999944,15.299999999999999,132.1545043549998,197.5,534.0,197.5,534.0,15.299999999999999
03-05-2017 16:00,8.317666666666666,103.12600000000002,105.56416666666667,2.4381666666666604,15.4,84.9738368799998,113.0,415.0,113.0,415.0,15.4
03-05-2017 16:30,8.314166666666667,98.63383333333333,99.20466666666668,0.5708333333333352,15.216666666666667,20.483226318333504,56.5,207.5,56.5,207.5,15.216666666666667
03-05-2017 17:00,8.310166666666666,96.34466666666667,96.43766666666669,0.0930000000000059,14.85,3.2385124533335383,0.0,0.0,0.0,0.0,14.85
03-05-2017 17:30,8.298833333333333,96.25,96.33800000000001,0.08800000000000807,14.266666666666666,3.0599458266669473,0.0,0.0,0.0,0.0,14.266666666666666
03-05-2017 18:00,8.2865,96.25,96.33800000000001,0.08800000000000807,13.41666666666667,3.0553982800002806,0.0,0.0,0.0,0.0,13.41666666666667
03-05-2017 18:30,7.537,96.25,96.33800000000001,0.08800000000000807,12.766666666666666,2.8883681200002655,0.0,0.0,0.0,0.0,12.766666666666666
03-05-2017 19:00,0.7761666666666667,16.041666666666668,16.056333333333335,0.014666666666668013,12.366666666666669,0.2861881733333596,0.0,0.0,0.0,0.0,12.366666666666669
03-05-2017 19:30,0.0,0.0,0.0,0.0,12.216666666666667,0.0,0.0,0.0,0.0,0.0,12.216666666666667
03-05-2017 20:00,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,11.9
03-05-2017 20:30,0.0,0.0,0.0,0.0,11.65,0.0,0.0,0.0,0.0,0.0,11.65
03-05-2017 21:00,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0,0.0,0.0,11.399999999999999
03-05-2017 21:30,0.0,0.0,0.0,0.0,10.983333333333333,0.0,0.0,0.0,0.0,0.0,10.983333333333333
03-05-2017 22:00,0.0,0.0,0.0,0.0,10.616666666666667,0.0,0.0,0.0,0.0,0.0,10.616666666666667
03-05-2017 22:30,0.0,0.0,0.0,0.0,10.133333333333335,0.0,0.0,0.0,0.0,0.0,10.133333333333335
03-05-2017 23:00,0.0,0.0,0.0,0.0,9.716666666666667,0.0,0.0,0.0,0.0,0.0,9.716666666666667
03-05-2017 23:30,0.0,0.0,0.0,0.0,9.116666666666667,0.0,0.0,0.0,0.0,0.0,9.116666666666667
04-05-2017 00:00,0.0,0.0,0.0,0.0,8.233333333333333,0.0,0.0,0.0,0.0,0.0,8.233333333333333
04-05-2017 00:30,0.0,0.0,0.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,7.666666666666667
04-05-2017 01:00,0.0,0.0,0.0,0.0,7.316666666666667,0.0,0.0,0.0,0.0,0.0,7.316666666666667
04-05-2017 01:30,0.0,0.0,0.0,0.0,6.966666666666668,0.0,0.0,0.0,0.0,0.0,6.966666666666668
04-05-2017 02:00,0.0,0.0,0.0,0.0,6.6000000000000005,0.0,0.0,0.0,0.0,0.0,6.6000000000000005
