,Time,Power_output,GHI,DNI,Amb_temp,pred_GHI,pred_DNI,pred_Amb_temp
15035,2018-05-28 05:30:00,0.0,0.0,0.0,18.550000190000002,0.0,0.0,17.83363085964391
15036,2018-05-28 06:00:00,0.0,0.0,0.0,18.5,0.0,0.0,20.115398060257565
15037,2018-05-28 06:30:00,0.0,64.0,221.0,17.950000759999998,17.242789194905022,186.00327342768162,19.439528064485884
15038,2018-05-28 07:00:00,0.0,128.0,442.0,17.44999981,203.9306607050378,399.6764414840352,18.391340116088518
15039,2018-05-28 07:30:00,0.0,235.5,597.0,17.34999943,274.77827848665675,613.393251047833,17.375991310362625
15040,2018-05-28 08:00:00,0.0,343.0,752.0,18.199999809999998,280.7185084982579,780.4126173612852,19.413268249005906
15041,2018-05-28 08:30:00,0.0,460.5,849.0,19.34999943,491.40873313033336,960.8961209873654,20.48443755182974
15042,2018-05-28 09:00:00,0.0,578.0,946.0,20.699999809999998,667.2978901020757,1029.9843825607827,21.648851643499814
15043,2018-05-28 09:30:00,0.0,677.5,981.5,22.150000570000003,781.6767343792859,983.1775207168236,24.210606943329232
15044,2018-05-28 10:00:00,0.0,777.0,1017.0,23.199999809999998,740.115489657647,1060.501478013436,21.507869481199872
15045,2018-05-28 10:30:00,0.0,849.0,1025.0,23.649999620000003,885.7026567807392,1108.2805290163,24.738499273259208
15046,2018-05-28 11:00:00,31.595440820000004,921.0,1033.0,24.649999620000003,910.6240246678351,1096.601772229859,24.167538060202677
15047,2018-05-28 11:30:00,225.18038853833343,964.0,1031.5,25.650000570000003,1023.7220188611656,1006.1409413179786,27.055685046544607
15048,2018-05-28 12:00:00,274.59414165333334,1007.0,1030.0,26.90000025333333,1048.7148470900165,1134.596840983146,26.549195094514637
15049,2018-05-28 12:30:00,328.5928714033332,1021.5,1031.5,27.550000190000002,1049.295371134643,976.475564952146,28.255936125975502
15050,2018-05-28 13:00:00,365.7739362783332,1036.0,1033.0,28.449999809999998,1051.7685629346204,1036.5665745538784,26.64647982379869
15051,2018-05-28 13:30:00,392.2436160183335,1015.5,1032.5,28.699999809999998,1008.4563921945175,1128.1240903754747,28.83322155894821
15052,2018-05-28 14:00:00,423.8335895866667,995.0,1032.0,29.249999999999996,955.8217421673874,1041.6372558854478,26.782222919256025
15053,2018-05-28 14:30:00,455.59249557500016,952.5,1044.0,30.25,984.1058031133681,1031.5166601944854,29.843377661000183
15054,2018-05-28 15:00:00,472.13601573333335,910.0,1056.0,30.5,901.4720015646673,1089.866132450741,29.68391164946363
15055,2018-05-28 15:30:00,457.45268797500006,832.0,1045.0,30.549999240000002,855.0588131077801,933.6931332155269,30.127216393644122
15056,2018-05-28 16:00:00,423.3898825533336,754.0,1034.0,31.10000038,757.9993469863828,1049.7179652363468,31.088498615667906
15057,2018-05-28 16:30:00,360.00197803500015,651.0,998.5,31.14999962,732.5325549288068,986.5384240579593,31.241268969488914
15058,2018-05-28 17:00:00,303.1648745466667,548.0,963.0,30.999999999999996,500.53941077617793,894.1040671973848,32.720412192778056
15059,2018-05-28 17:30:00,249.7455191416667,430.5,872.5,31.249999999999996,504.52120505014886,795.6976553712776,31.30862474115441
15060,2018-05-28 18:00:00,192.6294517383332,313.0,782.0,31.25,383.95610231795155,886.8518455886867,29.27402298719171
15061,2018-05-28 18:30:00,117.7716554633334,209.0,635.0,31.10000038,131.68007245605003,649.4232113659286,29.22114746092436
15062,2018-05-28 19:00:00,29.41717993333334,105.0,488.0,31.250000000000004,133.84059211085224,430.3362021823547,31.51019961743444
15063,2018-05-28 19:30:00,0.0,52.5,244.0,30.749999999999996,152.324943589639,265.28510032370843,29.828638117211877
15064,2018-05-28 20:00:00,0.0,0.0,0.0,30.700000759999998,0.0,0.0,29.86557945571928
15065,2018-05-28 20:30:00,0.0,0.0,0.0,30.14999962,0.0,0.0,30.97029501639602
15066,2018-05-28 21:00:00,0.0,0.0,0.0,28.949999809999998,0.0,0.0,27.616585371665284
15067,2018-05-28 21:30:00,0.0,0.0,0.0,27.90000057,0.0,0.0,28.009708393023708
15068,2018-05-28 22:00:00,0.0,0.0,0.0,27.300000190000002,0.0,0.0,27.174224700493582
15069,2018-05-28 22:30:00,0.0,0.0,0.0,26.699999809999998,0.0,0.0,26.931151903738225
15070,2018-05-28 23:00:00,0.0,0.0,0.0,25.550000190000002,0.0,0.0,26.185220937044882
15071,2018-05-28 23:30:00,0.0,0.0,0.0,24.850000379999997,0.0,0.0,24.692003874113375
15072,2018-05-29 00:00:00,0.0,0.0,0.0,10.566666603333333,0.0,0.0,10.894523737249369
15073,2018-05-29 00:30:00,0.0,0.0,0.0,10.250000000000002,0.0,0.0,9.553651963850585
15074,2018-05-29 01:00:00,0.0,0.0,0.0,9.900000095500001,0.0,0.0,10.65215920834055
15075,2018-05-29 01:30:00,0.0,0.0,0.0,9.449999809,0.0,0.0,7.525489613178323
15076,2018-05-29 02:00:00,0.0,0.0,0.0,8.500000000000002,0.0,0.0,8.163502143141988
15077,2018-05-29 02:30:00,0.0,0.0,0.0,7.6500000955,0.0,0.0,5.8288168108066625
15078,2018-05-29 03:00:00,0.0,0.0,0.0,7.0999999045,0.0,0.0,6.122596912741242
15079,2018-05-29 03:30:00,0.0,0.0,0.0,7.0499999524999994,0.0,0.0,7.830437299592832
