Time,Power_output,GHI,DNI,Amb_temp,pred_GHI,pred_DNI,pred_Amb_temp
2017-02-09 09:00:00,0.0,564.0,927.0,27.849999999999998,713.270744652648,966.6283923139155,26.769839679200732
2017-02-09 09:30:00,0.0,663.5,962.5,28.400000000000002,645.1065747412001,863.2501887654976,27.509793497531476
2017-02-09 10:00:00,2.232438346866777,763.0,998.0,29.349999999999998,688.151814447329,1009.285117385301,30.49482259599079
2017-02-09 10:30:00,0.5448809453333024,838.5,1011.5,31.149999999999995,833.8620235205551,942.9083619334867,29.71160024430798
2017-02-09 11:00:00,1.7182936679999878,914.0,1025.0,32.45000000000001,929.9580246554317,940.2339697373314,33.00164965182507
2017-02-09 11:30:00,22.23619342849322,957.0,1022.5,33.6,1003.94355957284,940.4047930047464,32.954223572711115
2017-02-09 12:00:00,8.27780546825344,1000.0,1020.0,35.050000000000004,998.0243843016028,1061.2942890406657,38.848990410758965
2017-02-09 12:30:00,14.398502329573281,1009.5,1012.5,35.85,1002.6615515145766,1044.868428924662,35.73979488511851
2017-02-09 13:00:00,20.086965325506885,1019.0,1005.0,36.99999999999999,934.1267542003527,1005.4900751662474,38.57774036981267
2017-02-09 13:30:00,30.133798420653203,1006.5,1018.0,38.20000000000001,1092.394350337166,1099.529074940248,38.25020669433708
2017-02-09 14:00:00,26.011739891479902,994.0,1031.0,39.35,978.0408775542036,1056.4386679460488,41.39600705441306
2017-02-09 14:30:00,22.253609856573274,940.0,945.5,40.24999999999999,985.815805900509,887.4115184422454,41.54228658790402
2017-02-09 15:00:00,25.35994560284026,886.0,860.0,40.25,877.9562199715755,854.469135897149,39.739311226974046
2017-02-09 15:30:00,10.320345597893205,496.0,431.0,41.0,425.5022025817449,401.88536519939476,40.59539082314285
2017-02-09 16:00:00,4.624977347599864,106.0,2.0,40.650000000000006,33.427055651021334,0.0,38.51946590132013
2017-02-09 16:30:00,0.9073584089867269,314.5,396.5,40.550000000000004,282.71893618333877,346.1851246147394,40.23920100236086
2017-02-09 17:00:00,0.0,523.0,791.0,39.85,598.1740391920849,872.6891575868096,41.574063717081046
2017-02-09 17:30:00,0.0,410.5,769.0,39.949999999999996,303.2236967697416,862.6920492687171,38.192471974706656
2017-02-09 18:00:00,0.0,298.0,747.0,42.099999999999994,413.27545590259626,589.2830776868608,43.62714812794694
2017-02-09 18:30:00,0.0,196.0,600.5,41.849999999999994,211.34100959446673,521.1582454373422,42.39598632587421
